wikilabel,pubchem
Q146415,62696
Q170617,16186314
Q187706,5479203
Q190016,22833565
Q205145,447545
Q216852,853
Q229907,67496
Q320617,14950
Q326224,6167
Q412212,5280497
Q413299,135329020
Q415798,16219761
Q416381,13848147
Q418315,161995
Q419361,6852391
Q419375,24087
Q421647,11968241
Q423098,8378
Q424459,727
Q497073,24681
Q503527,5460634
Q907939,412
Q943416,7057884
Q1014287,6391215
Q1042313,9811564
Q1129730,92205
Q1225774,68207
Q1226496,136400
Q1228284,44151255
Q1235560,534263
Q1280166,44152182
Q1291820,6451521
Q1761300,196986
Q1792801,16213749
Q2234483,12586
Q2680367,5148110
Q2823194,74380263
Q2866762,11282394
Q2993328,16132316
Q3083814,5497157
Q3144605,102861
Q3243737,23509282
Q3289067,66072
Q3512695,9876840
Q3546864,32932514
Q3553093,85154227
Q3560768,14648287
Q4044797,12051
Q4083790,160884
Q4096518,5702677
Q4138050,83606
Q4138107,25026995
Q4161299,22450701
Q4348637,25113386
Q4445816,6365199
Q4445834,82959
Q4445833,83605
Q4445840,16684827
Q4445847,6390517
Q4445860,82957
Q4445872,82864
Q4454241,6914517
Q4462924,3113817
Q4498205,522634
Q4498226,83468
Q4505497,61358
Q4540633,71095000
Q4545640,57517061
Q4596738,11143444
Q4596778,69175
Q4632131,57469209
Q4633072,57458864
Q4634014,10447943
Q4634016,127862
Q4634117,57466051
Q4634137,57458869
Q4636223,54929142
Q4637130,82100444
Q4638893,6911989
Q4642856,46782432
Q4646882,9794141
Q4650003,71301472
Q4653308,71308155
Q4689286,124490314
Q4779233,45139106
Q4803642,137329
Q4828930,16132300
Q4835357,9882367
Q4890770,66248
Q4998036,11556075
Q5024643,10909255
Q5204403,9960697
Q5204666,3025823
Q5205903,11637190
Q5255155,2570
Q5269984,57467735
Q5319233,16130969
Q5332458,6436199
Q5401863,63020
Q5506964,3429
Q5637062,11979956
Q5810370,11765600
Q6095002,98912
Q6343339,9318
Q6385815,11815482
Q6459781,5471948
Q6647969,11665397
Q6647973,5062350
Q6823613,68936
Q6953369,9841596
Q6953452,57426056
Q6997373,16134381
Q7041506,71308247
Q7071299,21171210
Q7071991,9829239
Q7073136,10106063
Q7116022,6712731
Q7118886,9868551
Q7168156,67814
Q7249616,6148988
Q7263189,45479427
Q7272074,5351805
Q7339206,3045239
Q7388268,9925999
Q7394830,57404059
Q7431491,158103
Q7633337,107537
Q7671084,9799023
Q7865585,25149433
Q9133382,12244363
Q9150038,15012450
Q9593998,11084199
Q10395556,7139
Q10866229,16683069
Q11350933,32343
Q11699967,173519
